document_index,score,lexical_diversity,char_entropy,token_entropy,repetition_penalty,ngram_repetition_penalty,pii_density_penalty,url_html_noise_penalty,non_linguistic_symbol_penalty,length_prior,language_consistency,optional_lm_surprisal,duplicate_cluster_penalty
18,0.8903081757365291,0.8717948717948718,0.9609621345355706,0.7492091114889294,1.0,1.0,0.589041095890411,1.0,0.786046511627907,1.0,1.0,1.0,1.0
19,0.8024676831292292,0.782051282051282,0.9920944152485083,0.7275588310332772,0.974025974025974,1.0,1.0,0.0,0.550561797752809,1.0,0.9874213836477987,1.0,1.0
20,0.6037845531575804,0.1,0.7169667551086263,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.832173853159369,0.8955223880597015,0.9662594120126592,0.732141745822147,1.0,1.0,1.0,0.0,0.707808564231738,1.0,1.0,1.0,1.0
22,0.6082807062667005,0.1111111111111111,0.7215435602304383,0.1981203125901445,0.11538461538461542,0.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0.8124461758345225,0.7792207792207793,0.9665723249757614,0.7210682397027713,0.9736842105263158,0.9866666666666667,1.0,0.0,0.6868686868686869,1.0,1.0,1.0,1.0
24,0.9019801036781163,0.7027027027027027,0.9490603551259614,0.6908280811546648,0.9452054794520548,0.9722222222222222,1.0,1.0,0.7339901477832512,1.0,1.0,1.0,1.0
25,0.9226692425288006,0.782608695652174,0.9752648657042291,0.7014918931362377,1.0,1.0,1.0,1.0,0.7326478149100257,1.0,0.9863481228668942,1.0,1.0
26,0.9327498923877915,0.8095238095238095,0.8864981951241593,0.6950475648293737,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0
27,0.9224869041966987,0.75,0.899449855335037,0.6830967016852074,1.0,1.0,1.0,1.0,0.8444444444444444,1.0,1.0,1.0,1.0
28,0.8903081757365291,0.8717948717948718,0.9609621345355706,0.7492091114889294,1.0,1.0,0.589041095890411,1.0,0.786046511627907,1.0,1.0,1.0,1.0
